ANGLO SAXON BRONZE FINGER RING WITH INTERESTING PATTERN 7TH - 8TH CENTURY,36.91,0,None,None,1484949887000,United Kingdom
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom
ANCIENT HARAPPAN CULTURE BRONZE-AGE DECORATED POT,33.22,0,None,None,1484949887000,United Kingdom
NICE LAPIS LAZULI SEAL STAMP WITH INTERESTING IMPRESSIONS,12.29,0,None,None,1484949887000,United Kingdom
LOVELY HARDSTONE SEAL WITH ZOOMORPHIC IMPRESSION,12.29,0,None,None,1484949887000,United Kingdom
ANCIENT HARAPPAN CULTURE BRONZE-AGE DECORATED POT.,33.22,0,None,None,1484949887000,United Kingdom
INDUS VALLEY BRONZE AGE TERRACOTTA ANIMAL FIGURINE 2200-1200 BC,29.53,0,None,None,1484949887000,United Kingdom
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom
NICE POST MEDIEVAL 18TH - 19TH CENTURY LEAD SIGN, BRITISH FOUND,14.76,0,None,None,1484949887000,United Kingdom
GROUP OF THREE MEDIEVAL BRONZE RING BROOCHES 13TH - 14TH CENTURY AD,12.30,0,None,None,1484949887000,United Kingdom
ANCIENT GREEK BRONZE FINGER RING 500 BC,22.15,0,None,None,1484949888000,United Kingdom
ANCIENT GREEK BRONZE AGE BATTLE FIELD ARROW HEAD 2ND-1ST MILLENNIUM BC,27.07,0,None,None,1484949888000,United Kingdom
POST MEDIEVAL NEAR EASTERN DECORATED BRASS BELL 17TH - 18TH CENTURY AD,12.30,0,None,None,1484949888000,United Kingdom
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom
SUPER ANCIENT GREEK SOCKETED BRONZE ARROW HEAD 1ST MILLENNIUM BC,14.76,0,None,None,1484949888000,United Kingdom
TWO JACOBEAN PERIOD COPPER FINGER RINGS 17TH CENTURY AD,23.38,0,None,None,1484949888000,United Kingdom
NICE HARDSTONE SEAL WITH ZOOMORPHIC SCENE IMPRESSION,12.29,0,None,None,1484949888000,United Kingdom
BEAUTIFUL ANTIQUE SILVER RING WITH ISLAMIC CALLIGRAPHY,18.46,0,None,None,1484949888000,United Kingdom
ANCIENT GREEK BRONZE AGE BATTLE FIELD ARROW HEAD 2ND-1ST MILLENNIUM BC,27.07,0,None,None,1484949888000,United Kingdom
NICE MEDIEVAL COPPER BAND RING 13TH - 15TH CENTURY AD,18.46,0,None,None,1484949888000,United Kingdom
ANCIENT INDUS VALLEY TERRACOTTA IDOL HEAD 3300-1300 BC,30.76,0,None,None,1484949888000,United Kingdom
INTERESTING ANCIENT ROMAN BRONZE OBJECT,239.93,0,None,None,1484949888000,United Kingdom
ISLAMIC MEDIEVAL PERIOD HAND WRITTEN PRAYER PAGE 16TH CENTURY AD,9.83,0,None,None,1484949888000,United Kingdom
ANTIQUE SILVER RING WITH STONE INSERT.,18.46,0,None,None,1484949888000,United Kingdom
ANCIENT INDUS VALLEY TERRACOTTA IDOL HEAD 3300-1300 BC,30.76,0,None,None,1484949888000,United Kingdom
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom
ANCIENT GREEK BRONZE FINGER RING 500 BC,24.61,0,None,None,1484949888000,United Kingdom
ANCIENT HARAPPAN CULTURE BRONZE-AGE DECORATED VESSEL,33.22,0,None,None,1484949888000,United Kingdom
HARDSTONE SEAL WITH INTERESTING IMPRESSION,18.44,0,None,None,1484949888000,United Kingdom
TWO ANCIENT EGYPTIAN GLASS AND STONE BEADS 1600 BC,12.30,0,None,None,1484949888000,United Kingdom
NICE POST MEDIEVAL 18TH - 19TH CENTURY LEAD SIGN, BRITISH FOUND.,14.76,0,None,None,1484949888000,United Kingdom
AUTÉNTICO METEORITO FERRICO SIKHOTE ALIN.  4,7 g. RUSIA.  NSK08,10.60,5,None,None,1484950157000,Ukraine
Saljuk Turkish or Middleeastern large silver bracelet 12th century,2,250.00,0,None,None,1484950346000,Spain
EXCEPTIONAL !!! 4 ANCIENT MEDIEVAL MEDALS,26.21,0,None,None,1484950346000,Spain
