ANGLO SAXON BRONZE FINGER RING WITH INTERESTING PATTERN 7TH - 8TH CENTURY,36.91,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
ANCIENT HARAPPAN CULTURE BRONZE-AGE DECORATED POT,33.22,0,None,None,1484949887000,United Kingdom,Antiquities
NICE LAPIS LAZULI SEAL STAMP WITH INTERESTING IMPRESSIONS,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
LOVELY HARDSTONE SEAL WITH ZOOMORPHIC IMPRESSION,12.29,0,None,None,1484949887000,United Kingdom,Antiquities
ANCIENT HARAPPAN CULTURE BRONZE-AGE DECORATED POT.,33.22,0,None,None,1484949887000,United Kingdom,Antiquities
INDUS VALLEY BRONZE AGE TERRACOTTA ANIMAL FIGURINE 2200-1200 BC,29.53,0,None,None,1484949887000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949887000,United Kingdom,Antiquities
NICE POST MEDIEVAL 18TH - 19TH CENTURY LEAD SIGN, BRITISH FOUND,14.76,0,None,None,1484949887000,United Kingdom,Antiquities
GROUP OF THREE MEDIEVAL BRONZE RING BROOCHES 13TH - 14TH CENTURY AD,12.30,0,None,None,1484949887000,United Kingdom,Antiquities
ANCIENT GREEK BRONZE FINGER RING 500 BC,22.15,0,None,None,1484949888000,United Kingdom,Antiquities
ANCIENT GREEK BRONZE AGE BATTLE FIELD ARROW HEAD 2ND-1ST MILLENNIUM BC,27.07,0,None,None,1484949888000,United Kingdom,Antiquities
POST MEDIEVAL NEAR EASTERN DECORATED BRASS BELL 17TH - 18TH CENTURY AD,12.30,0,None,None,1484949888000,United Kingdom,Antiquities
ANTIQUE SILVER RING WITH STONE INSERT,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
SUPER ANCIENT GREEK SOCKETED BRONZE ARROW HEAD 1ST MILLENNIUM BC,14.76,0,None,None,1484949888000,United Kingdom,Antiquities
TWO JACOBEAN PERIOD COPPER FINGER RINGS 17TH CENTURY AD,23.38,0,None,None,1484949888000,United Kingdom,Antiquities
NICE HARDSTONE SEAL WITH ZOOMORPHIC SCENE IMPRESSION,12.29,0,None,None,1484949888000,United Kingdom,Antiquities
BEAUTIFUL ANTIQUE SILVER RING WITH ISLAMIC CALLIGRAPHY,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
ANCIENT GREEK BRONZE AGE BATTLE FIELD ARROW HEAD 2ND-1ST MILLENNIUM BC,27.07,0,None,None,1484949888000,United Kingdom,Antiquities
NICE MEDIEVAL COPPER BAND RING 13TH - 15TH CENTURY AD,18.46,0,None,None,1484949888000,United Kingdom,Antiquities
ANCIENT INDUS VALLEY TERRACOTTA IDOL HEAD 3300-1300 BC,30.76,0,None,None,1484949888000,United Kingdom,Antiquities
